q,a1,a2,a3,a4,a5,a6,a7
Name A Phrase That Often Appears In Children’S Stories,Once Upon A Time,The End,Happily Ever After,,,,
What Do People Say At Halloween That Would Be Inappropriate To Hear At Christmas?,Trick Or Treat,Boo,Happy Halloween,,,,
Name A Drink Usually Associated With Christmas,Egg Nog,Cider,Hot Chocolate,,,,
Name Something Tha Can Be Pumped,Gas,Tire,Iron,,,,
"Other Than Illness, Name An Acceptable Excuse For Missing Work.",Funeral,Car Trouble,Jury Duty,,,,
Who In Your Life Is Most Likely To Brad About You?,Parent,Partner,Kids,,,,
We Asked 100 Wives: Name A Place Where You Wouldn’t Want Your Husband To Go With His Buddies.,Gentleman’s Club,The Bar,Las Vegas,,,,
Name A Crime That Some People Probably Commit Every Day.,Speeding,Jaywalking,Littering,,,,
"Name Something A Grown Woman Might Lie About, But A Young Girl Wouldn’t",Age,Weight,Love Life,,,,
Name A Decoration You Might Find Inside A Mexican Restaurant,Sombrero,Pinata,Maracas,,,,
What Might You See Inside A Bag Of Chips That Would Make You Stop Eating Them?,Hair,Bug,Mold,,,,
Name Something Tourists Point Up At,Tall Buildings,Statues/ Monuments,Mountains,,,,
"What Do Some People Do Immediately After Breaking Up, And Others Take Time To Do?",Date Again,Mourn,Move On,,,,
Name Something Considerate That People Often Do For You In An Elevator,Hold Door,Push Button,Move Over,,,,
"If You Live In The Country, Name A Type Of Lights That You Don’t See At Night.",Street Lights,Traffic,Neon Light,,,,
Name Something You Might Add Milk To In The Morning.,Cold Cereal,Coffee,Oatmeal,,,,
"Name Something Children Wear, But Adults Don’t",Diaper,Bib,Overalls,,,,
Name Something That A Demanding Bride May Ask Her Maid-Of_Honor To do That Could End Their Friendship.,Wear An Ugly Dress,Lie For Her,Pay For Dress,,,,
Name A Profession Where You Might Have A Dog For A Sidekick,Police Officer,Firefighter,Performer,,,,
We Asked 100 Single People: Who In Your Life Gives You The Most Pressure To Settle Down and Marry?,Mom,Friends,Person I’m Dating,,,,
Name A Form Of Communication That Few People Use Anymore.,Written Letters,Telegraph,Phone,,,,
Name A Profession That Has To Worry About Getting Sued,Doctor,Lawyer,Police Officer,,,,
Name Something You Need To Eat Before It Melts.,Ice Cream,Chocolate,Popsicle,,,,
Name A prize You May Win From A Carnival Game.,Stuffed Animal,Gold Fish,Poster,,,,
Name Something Drivers Often Do If They Spot A Police Car Up Ahead,Slow Down,Move Over,Put Seatbelt On,,,,
Name An Animal That You See More Of In The City.,Cat,Pigeon,Rat,,,,
Name Something Kids Might Collect From The Beach,Shells,Sand,Rocks,,,,
Name Something It Would Be Rude Not To Do When Being Introduced To A Stranger,Shake Hands,Smile,Say Hello,,,,
"Name A Skill That’s More Important For Teens To Learn Today, Than Previously",Computer Skills,Driving,Second Language,,,,
Name Something People Wear To Avoid A Sunburn,Sunscreen,Hat,Shirt/Coverup,,,,
Name A Specific Person You’d Ask To Help You Move If You Were In A Jam.,Friend,Parent,Sibling,,,,
Name Something Parents Of Twins Do That Makes Their Children Seem Even More Similar.,Dress Alike,Hair Style,Similar Names,,,,
"Other Than To Buy Books, Why Might Someone Go To A Bookstore?",Read,Coffee,Socialize,,,,
What Do You Find Out About A Town By Reading Signs On The Side Of The Road?,Population,Town Name,Speed Limit,,,,
Name A Profession That’s Only Successful If People Are Laughing At Them.,Comedian,Clown,Sports Mascot,,,,
Tell Me A Reason People Give For Wearing Black.,Funeral,Slimming,Style,,,,
"If An Alien Gave You A Guided Tour Of Outer Space, What Would Be Must-See Stops?",Other Planets,Moon,Sun,,,,
What Might A Parent Videotape Their Child Doing Around The Christmas Holiday?,Opening Presents,Being In Pageant,Visiting Santa,,,,
What Is A Color That You Would See On A Country’s Flag?,Red,Blue,White,,,,
Name A Song That Has “Christmas” In The Title,White Christmas,Oh Christmas Tree,Wish You Merry Xmas,,,,
Name Something Santa Does That You wouldn’t want Your House guest To Do.,Come Down Chimney,Eat Your Coookies,Arrive Late at Night,,,,
"Other Than Displays Of Affection, Name Something You Wish Couples Wouldn’t Do In Public.",Fight,Feed Each Other,Baby Talk,,,,
Name A Reason You Might Dread Going To A New Year’s Party At A Club.,Crowded,No Date,Don’t Drink,,,,
Which Color Would You Be Surprised To See A Bride Wearing On Her Wedding Day?,Black,Red,Green,,,,
Name Something You’D Hate To Find Floating In Your Coffee,Bug,Hair,Food Crumb,,,,
"Name Something Santa Does, That You Wouldn’t Want Your House Guests To Do.",Come Down Chimney,Eat Your Cookies,Arrive Late At Nite,,,,
Name A Specific Night Of The Year That You Hope To Be Kissed.,New Year Eve’s,Valentine’s,Christmas,,,,
Name Something That You Can Get For Free At A Casino.,Drinks,Food,Entertainment,,,,
Name A Person Who You’d Never Trust to Set You Up On A Blind Date,Mother,Sibling,Ex,,,,
"If You See Pink Frosting On A Cake, What Flavor Would You Expect It To Be",Strawberry,Cherry,Raspberry,,,,
Name Something You’d Take Camping But Be Arrested For If You Brought It To A Bank.,Gun,Hatchet,Alcohol,,,,
"Before Visiting A New City, Name Something For Which You Might Get A Recommendation.",Places To Stay,Restaurant,Attraction,,,,
Name A Reason Why It’s Hard To Slow Dance With A Ghost.,Can’t See Them,Nothing To Hold,Can’t Lead,,,,
Name A Decoration You Might Find Inside A Mexican Restaurant.,Sombrero,Pinata,Maracas,,,,
Name Something A Dad Would Look Silly Borrowing From His Child At The Bowling Alley.,Shoes,Lightweight Ball,Money,,,,
Name A Famous Robert Who Many Women Consider Handsome.,Robert Redford,Robert De Niro,Robert Kennedy,,,,
Name An Article Of Clothing That Most People Have 10 Of.,Pairs Of Shoes,Pairs Of Socks,Shirts,,,,
Name Something A Man Might Do At The Gym To Impress A Woman.,Lift Weights,Flex,Take Off Shirt,,,,
Name Something People Wait In Line For On Hot Days,Ice Cream,Cold Drinks,Water Park,,,,
Name Something A Contestant In A Beauty Pageant Might Wear,Bathing Suit,Gown,Makeup,,,,
Name A Kind Of Cookie People Love To Dunk In Milk,Chocolate Chip,Oreo,Oatmeal,,,,
Name A Night Of The Week When People Stay Up Later Than Usual,Friday,Saturday,Sunday,,,,
"If There Was An Award For “Loudest In The Zoo,” Which Animal Would Win It?",Lion,Elephant,Monkey,,,,
"On A Scale From 1-10, How Good Are You At Keeping A Secret?",10,5,8,9,,,
Name The Time Of Night When It’s Too Late To Call Someone’s House.,10,12,11,9,,,
Name An Age That People Worry About Turning,40,50,30,60,,,
Tell Me A Good Score When Playing 18 Holes Of Golf.,72,65,80,66,,,
Name Something That Can Be Spoiled,Milk,Food,Kids,A Surprise,,,
What Reason Would Most People Give For Why They Drink Coffee?,Stay Awake,Like The Taste,Energy,Addicted,,,
Name A Profession Where You May Receive Lots Of Mail From Strangers.,Celebrity,Politician,Customer Service,Advice Columnist,,,
Name Something You Hope To Have Your Seat Near While Riding In A Plane,Window,Bathroom,Exit,Aisle,,,
Tell Me Something You Avoid When You Are Sick,Other People,Work/ School,Eating,Alcohol,,,
What’s Something You Drink To Make You Warmer?,Coffee,Hot Chocolate,Tea,Alcohol,,,
Name A Drink You Get At A Cafe That Most People Can’t Make At Home,Latte,Cappuccino,Mocha,Americano,,,
Name A Public Place Where It Is Okay To Yell,Park,Concert,Sports Event,Amusement Park,,,
Name A Physical Characteristic That Aliens Are Said To Have,Wide Eyes,Big Head,Green Skin,Antennae,,,
What Might A Professional Athlete Do Just After A Sports Game To Avoid Getting Sore Muscles?,Stretch,Get A Massage,Soak In Hot Tub,Apply Ice,,,
What Might A Woman Do On A First Date To Make You Suspect He Was An Undercover Cop?,Ask Many Questions,Carries A Gun,Wears A Badge,Ask For ID,,,
Name Something A Vacation Brochure Tells You About A Destination,Weather,Prices,Where To Stay,Attractions,,,
Name An Occasion Where It’d Be Embarrassing To Show Up Empty Handed.,Wedding,Birthday,Christmas,Baby Shower,,,
Name A Reason Why A College Football Player Might Get Kicked Off His Team.,Steroids,Fighting,Bad Attitude,Bad Grades,,,
"In A Scary Movie, Name Something Specific That Causes A Character To Scream",Monster,Weapon,Ghost,Bad Guy,,,
We Asked 100 Women: What Might You Get 2 Tickets For In Order To Entice Your Crush Into A Date?,Rock Concert,Sports Game,Opera,Ballet,,,
Name A Job Where You Must Keep A Certain Haircut.,Police,Military,Model,Barber,,,
Name A Sport That People Bet On,Football,Horse Racing,Boxing,Basketball,,,
Name Something In A House That A Spoiled Kid Might Have Their Own Of.,TV,Computer,Phone,Bathroom,,,
Name Something A Teenage Boy Might Ask His Dad For.,Car,Money,Advice,Bike,,,
Name Something That Gets Rolled Out.,Red Carpet,Dough,Yoga Mat,Sleeping Bag,,,
Which North Pole Resident Is Most Likely To Become Jealous Of Santa’s Power?,Elf,Jack Frost,Rudolph,Mrs. Claus,,,
Where Do You Like To Go Barefoot?,Beach,Park,Shower,Bed,,,
Name Something You Try To Prevent From Getting Flat,Tire,Hair,Soda,Beer,,,
Whose Phone Number Might A Child Know By Heart?,Emergency Department,Home Phone,Grandparents,Best Friend,,,
Name A Reason Why Workers Might Go On Strike.,Better Pay,Want Benefits,No Contract,Better Hours,,,
Name Something Permanent On a Criminal’s Skin That Police Use To Be Sure They’ve Got Their Man.,Tattoo,Fingerprint,Scar,Birthmark,,,
Name An Animal Associated With A Holiday,Reindeer,Turkey,Bunny,Black Cat,,,
Name Something Kids Might Use to Help Them Count.,Fingers,Flash Cards,Calculator,Blocks,,,
Name Something From The Laundry That’s Impossible To Fold Neatly.,Fitted Sheets,Socks,Underwear,Blouse,,,
Name A U.S. City With Very Aggressive Drivers,New York,Los Angeles,Chicago,Boston,,,
Name Something That Would Be Harder To Do If You Lived In Los Angeles,Drive,Ski,Sleep,Breathe,,,
Name Something People Forget To Do When In a Hurry To Leave The House.,Lock The Door,Turn Off The Lights,Grab Keys,Brush Teeth,,,
"Instead Of Playing With Their Gift, Which Packaging Item Might A Toddler Choose To Play With Instead.",Box,Wrapping Paper,Bow,Bubble Wrap,,,
Name Something A Kid Might Want Help Doing On A Snowy Day.,Shoveling,Building A Snowman,Walking,Bundling Up,,,
What Might Parents Be Caught Doing That Causes Their Kid To Bust Them For Doing Santa’s Job?,Set Gifts Under Tree,Wrapping Gifts,Eating Cookies,Buying/Hiding Gifts,,,
Name A State That You’d Hate To Live In During Summer,Florida,Arizona,Texas,California,,,
Name Something That Breaks Easily Without Its Case.,Glasses,CD,Musical Instrument,Camera,,,
Name Something That Comes With A Hood,Coat,Car,Sweatshirt,Cape,,,
"Name Something A Parent Tries, To Get Their Baby To Sleep.",Singing,Rocking,Warm Milk,Car Ride,,,
"Name Something That’s Legal For A Police Officer To Do, But Not For Anyone Else",Speed,Arrest Someone,Run Red Lights,Carry/ Use Gun,,,
Name Something That Often Looks Better In Advertised Pictures Than In Real Life.,Food,Clothes,People,Cars,,,
"Name An Animal Whose Print Looks Natural On Them, But Gaudy When Your Neighbor Wears It",Leopard,Zebra,Tiger,Cheetah,,,
Name Something You Only Consume When You Go To A Fast Food Restaurant.,French Fries,Burger,Milkshake,Chicken Nuggets,,,
Name The Person Who You Most Try To Avoid Having An Argument With.,Partner,Parent,Boss,Child,,,
Name A Safety Device That Older Cars Didn’t Have,Air Bags,Seat Belts,Anti Lock Break,Child Locks,,,
Name An Occupation That People Consider Caring,Nurse,Doctor,Teacher,Childcare Provider,,,
Name A Place You Visit Where You Aren’t Allowed To Touch Anything.,Museum/Gallery,Zoo,Gentleman’s Club,China Shop,,,
We Asked 100 Women: Name A Gift That You’d Always Be Happy To Get From Your Partner.,Flowers,Jewelry,Money,Chocolate,,,
"Name A Gift That Would Be Romantic To Get From Your Husband, But Creepy To Get From Your Father-In_Law.",Lingerie,Flowers,Jewelry,Chocolates,,,
What Is The Most Important Thing To Do When Planning A Valentine’s Day Date?,Get Flowers,Make Reservations,Buy Gift,Choose The Place,,,
Tell Me A Way To Say Hi In Another Language,Hola,Bonjour,Aloha,Ciao,,,
Name An Item You Associate With The Word Expensive,Car,Jewelry,House,Clothes,,,
In Which Profession Might You Have A Large Assortment of Wigs?,Actor,Hair Stylist,Model,Clown,,,
Name Something You Mix With Water Before Drinking,Kool Aid,Tea,Juice Concentrate,Coffee,,,
Name Something Provided In Some Waiting Rooms To Help Pass The Time,Reading Material,TV,Music,Coffee,,,
Name A Holiday That Most People Don’t Get Off From Work.,President’s Day,Martin Luther King,Valentine’s Day,Columbus Day,,,
How Do You Know That You’re Tuned Into A Country Radio Station?,Instruments,Announcer’s Voice,Sad Songs,Commercials,,,
Name Something Some People Blast The Volume On,Stereo,TV,Headset,Computer,,,
Name Something Of Dad’s That Kids Aren’t Allowed To Use,Car,Tools,Razor,Computer,,,
Name Something A Losing Sports Team Does To The Winners To Show Good Sportsmanship,Shake Hands,High Five,Clap,Congratulate,,,
Name A Place In The Car Where People Hide Their Valuables.,Glove Box,Trunk,Under Seat,Console,,,
Name Something That Can Be Inconvenient To Do While Camping.,Use Bathroom,Bathe,Sleep,Cook,,,
Name Something Parents Warn Their Children Not To Get Their Fingers Caught In.,Door,Fan,Outlet,Cookie Jar,,,
Name Something A Fast Food Restaurant Offers As A Dessert,Ice Cream,Pie,Cake,Cookies,,,
"Instead Of Money, What Might Santa Give His Reindeer As Pay?",Carrots,Presents,Deer Feed,Cookies,,,
"If A Person Is Raised On A Farm, Name Something You Expect Them To Be Better At",Milking Cows,Riding Horses,Gardening,Cooking,,,
Name Something A Radio DJ Might Accidentally Do If He Didn’t Know He Was On The Air.,Swear,Burp,Lose Temper,Cough,,,
Name Something That Chili May Come With Or Without.,Beans,Cheese,Meat,Crackers,,,
Name A Word Or Phrase Used To Describe Milk That’s Past Its Expiration Date.,Sour,Old,Rotten,Curdled,,,
Name Something You Close At Nighttime.,Bedroom Doors,Eyes,Window,Curtains,,,
Name Something About A Person That Might Be Described As Funky,Hair,Smell,Clothes,Dancing,,,
Name a Phrase That Begins With The Word “Double.”,Trouble,Jeopardy,Dutch,Dare,,,
Name Some Activities People Do On Christmas That They Don’t Do On Other Holidays?,Exchange Gifts,Sing,Go To Church,Decorate,,,
What’s The Messiest Thing To Clean Up After The Christmas Holiday?,Kitchen,Tree,Wrapping Paper,Decorations,,,
"If You Could Only Pack A Small Overnight Bag, What Specific Essentials Would Be In It?",Toothbrush/Paste,Underwear,Make up,Deoderant,,,
Name A Diet Method That Doesn’t Seem Very Reliable.,No Carb Diet,Fasting,Diet Pills,Diet Shakes,,,
Name Something That Smells Really Bad When On Fire,Hair,Plastic,Rubber,Dinner,,,
Name Something A Woman Calls A Party’s Host To Ask,What Time,What To Wear,What To Bring,Directions,,,
Where Do You Need To Be A Member In Order To Enter?,Gym,Country Club,Golf Course,Discount Grocery,,,
What Activity Don’t You Start Doing Until The Water Gets Warm?,Bathing,Swimming,Cooking,Dishes,,,
Name An Animal That You Can Ride At The Circus,Elephant,Horse,Camel,Donkey,,,
"Other Than Looking Up Numbers, Name Something A Phone Book Gets Used For",Find Addresses,Booster Seat,Maps,Door Stop,,,
Name A Talk Show Host Who Many People Respect,Oprah Winfrey,Jay Leno,David Letterman,Dr Phil,,,
"Besides Dancing, Name Something People Do On The Dance Floor",Talk,Sing,Kiss,Drink,,,
"If You Got To Be Fearless For One Day, Name The First Thing You’d Try",Sky Diving,Fly,Bungee Jumping,Driving A Race Car,,,
Name A Place That Closes Early For A Person To Run Errands After Work.,Bank,Post Office,Market,Dry Cleaners,,,
Name A Part Of Your Body That Feels Stuffed UP When You Have A Cold.,Nose,Head,Chest,Ears,,,
Name A Wedding Gift That The Bride And Groom Can Never Have Too Much Of,Money,Towels,Dishes,Eating Utensils,,,
Name Something That Would Be Very Messy If You Put It In The Microwave Uncovered,Pasta,Soup,Chili,Eggs,,,
Name A Reason Why A Woman Calls Her Husband While He’s Out.,Check On Him,Pick Something up,He’s Late,Emergency/Sick,,,
Tell Me Something About Santa Clause That Would Give You The Creeps If You’d Never Heard Of Him.,Long Beard,Comes Down Chimney,Sitting On His Lap,Employs Elves,,,
Why Might Someone Ride Their Bike To Work?,No Car,Exercise,Save Gas,Environment,,,
Name Something You’d Need If You Wanted To Dress As A Vampire For Halloween.,Fangs,Cape,White Makeup,Fake Blood,,,
Tell Me Something About Summer That You Look Forward To Most,Swimming/ Beach,Warm Weather,More Sun,Family Vacation,,,
Name A Place Where School Children Often Go For Field Trips.,Zoo,Museum,Park,Farm,,,
What Is The Most Fun Thing A Farmer Gets To Ride On?,Tractor,Horse,Bull,Farm Truck,,,
"If You Were Stranded With Other People On An Island, Which Useful Occupations Would You Want Them To Have?",Doctor,Carpentry,Cook,Farmer,,,
Name Something That Could Keep A Family Apart On Christmas,Weather,Distance,Work,Fighting,,,
How Can You Tell That The Person In The Car Next To You Is Listening To Music?,Lips Moving,Head Bobbing,Hear It,Fingers Tapping,,,
What Might A Restaurant Have Inside It That Would Cause It To Be Closed Down,Bugs,Rodents,Mold,Fire,,,
Name a Hobby That Would Be Ironic For A Firefighter To Have.,Smoking,Camping/Campfire,Fireworks,Fire Eating,,,
Name A Bad Job For Someone Who’s Afraid Of Heights,Window Washer,Pilot/Flight Attendant,Construction Worker,Firefighter,,,
Name Something People Might Stock Up On Before A Huge Snowstorm,Non Perishable Food,Water,Batteries,Firewood,,,
From What Activity Is A Man Most Likely To Be Late Getting Home From?,Work,Go To Bar,Golf,Fishing,,,
Name Something People Put In The Envelope With Their Holiday Cards.,Money,Pictures,Gift Cards,Form Letter,,,
"Name Something You Never Cook At Home, But Order When Eating At The Restaurant",Lobster,Steak,Fish,French Fries,,,
Name A Specific Junk Food That You’d Never Want To Give Up,Chocolate/ Candy,Chips,Pizza,French Fries,,,
"On A Road Trip, Name Something That Might Keep You Awake",Radio,Traffic,Engine,Friend Snoring,,,
Name A Kind Of Tree That Would Look Silly To Have As A Christmas Tree.,Oak Tree,Palm Tree,Maple Tree,Fruit Tree,,,
What Might You See In Front Of The Neighbors’ House That Lets You Know They’re Moving?,Moving Truck,For Sale Sign,Boxes,Furniture,,,
Name A Place In The House Where Only A Real TV-Lover Would Put A Television,Bathroom,Bedroom,Kitchen,Garage,,,
Name A Good Job To Have If You Want To Get A Nice Tan,Lifeguard,Tanning Salon,Construction,Gardener,,,
Name A Word Or Phrase That Ends In – Phobia,Arachnophobia,Agoraphobia,Claustrophobia,Germophobia,,,
What Might An Actor Do To Make You Not See Their Movies Anymore?,Die,Make A Flop,Retire,Get Arrested,,,
Name Something A Mom Might Tell Her Kid To Shower After Doing,Playing Outside,Playing Sports,Swimming,Getting Out Of Bed,,,
Name Something That Happens To People When They Get Embarrassed.,Blush,Cry,Sweat,Giggle,,,
"Like A Colored Easter Egg, Which Holiday Object Is Fun To Have When It’s Fresh, But Not Fun To Find Months Later.",Jack O’Lantern,Fruitcake,Christmas Tree,Gingerbread House,,,
Name A Common Gag Gift At An “Over The Hill” Birthday Party.,Cane,Diapers,Black Balloons,Glasses,,,
Name A Famous Desert,Sahara,Mojave,Death Valley,Gobi,,,
"Name A Quality That’s Important In A Friend, and Even More Important In A Spouse.",Trustworthiness,Sense Of Humor,Kindness,Good Communicator,,,
"Without The Uniform, How Can You Tell That Someone Is In The Mlitary",Haircut,Confident Walk,Badge,Good Posture,,,
Name A Special Occasion For Which Someone Might Go To A Hairdresser,Wedding,Prom,Birthday Party,Graduation,,,
Name A Part Of The Body That Gets Mentioned A Lot In Romantic Songs,Lips,Heart,Eyes,Hair,,,
Tell Me Something You Hate To Wear Too Short.,Skirt/Dress,Pants,Shorts,Hair,,,
Name Something Most Parents Would Let Their Teen Experiment With,Driving,Make Up,Dating,Hairstyle,,,
Name Something You Do To Get Rid Of A Song That’s Stuck In Your Head.,Sing/Hum It Through,Think Of Other Songs,Go To Sleep,Have A Conversation,,,
Name Something An Elevator Operator Probably Gets Tired Of Saying,Which Floor?,Going Up?,Hello,Have A Nice Day,,,
Name Something People Write About In Their Yearly Christmas Letter To Loved Ones.,Family,Greetings,Career,Health,,,
What Do People Pay To Have Guessed At The Carnival?,Weight,Age,Future,Height,,,
"Instead Of A Schoolbus, How Might A Wealthy Kid Get To School?",Limo,Their Own Car,Taxi,Helicopter,,,
Name Something Naughty That Children Do While At The Store,Steal,Cry/Scream,Run Off,Hide,,,
Name A Situation In Which Someone Might Get Crowned.,Prom,Coronation,Beauty Pageant,Homecoming,,,
"Name A Word Grooms Say They’ll Do At The Alter, But Probably Never Say After The Wedding",Obey,Love,Cherish,Honor,,,
"What Do Some People Look To For Relationship Guidance, That You Don’t Believe In?",Therapist,Psychic,Books,Horoscope,,,
Name Something A Woman Might Stop Maintaining Once She’s In A Serious Relationship,Weight,Looks,Friendships,House,,,
"Name A TV Show, Past Or Present, That Takes Place In A Hospital",ER,General Hospital,Grey’s Anatomy,House,,,
Name Something People Pose In Front Of For Their Christmas Photos.,Tree,Fireplace,Santa Claus,House,,,
What’s The First Thing You’re Likely To Be Asked About At Your High School Reunion?,What Do You Do?,Married?,Have Any Kids?,How Are You?,,,
"In The Grocery Store, How Can You Identify A Penny-Pincher?",Bring Coupons,Carry A Calculator,Buy Generic Brands,How They Dress,,,
"While At The Wedding, Name Away You Can Tell That The Marriage Won’t Last",Fights At Wedding,Bride/ Groom Flirting,Crying/ Sad Faces,How They Kiss,,,
Name A Muscular Celebrity Who Would Probably Have Trouble Finding Clothes In His Size.,Arnold Schwarzenegger,The Rock,Vin Diesel,Hulk Hogan,,,
Name A Way You Can Tell Someone Is A Doctor By Just Looking At Them.,Stethoscope,White Coat,Scrubs,ID Photo,,,
Name Something A Doctor Better Not Be Afraid Of,Blood,Needles,people,Illness/ Germs,,,
Name An Article Of Clothing That You’d Only Try On In Front Of Someone With Whom You’re Very Comfortable.,Bra,Underwear,Bathing Suit,Jeans,,,
"Other Than Teeth, Name Something People Use A Toothbrush To Clean",Shoes,Toilet,Floor,Jewelry,,,
Name Something That Comes In A Carton,Milk,Eggs,Cigarettes,Juice,,,
"Name Something A Hollywood Stunt Person Gets Paid To Do, But Your Teen Would Get Punished For Doing.",Crashing The Car,Speeding,Fighting,Jumping Off Roof,,,
Name Something A Divorced Person Might Do With Their Wedding Ring,Sell It,Throw It Away,Give It Back,Keep It,,,
What Do Parents Instruct Their Children To Do While Riding In The Car?,Be Quiet,Buckle Up,Sit Down,Keep Still,,,
"If There Was A School For Training Rock Stars, Who Might Be The Principal?",Ozzy Osbourne,Mick Jagger,Gene Simmons,Kid Rock,,,
Name Something You Might Climb A Tree To Get,Cat,Fruit,Ball,Kite,,,
Which Magic Trick Would Become Dangerous If The Magician Was A Phony?,Person Cut In Half,Sword Swallow,Disappearing Act,Knife Throwing,,,
Name A Way To Tell If You Neighbors Are Home.,Lights On,Car In Driveway,Noice,Knock On Door,,,
Name A Meal That Someone Who Loves Cheese Would Eat Often,Pizza,Mac And Cheese,Grilled Cheese,Lasagna,,,
Name A Food That You Often Burn Your Tongue While Eating.,Soup,Pizza,Chili,Lasagna/Pasta,,,
What Everyday Activity Burns The Most Calories?,Walking/ Running,Cleaning,Intercourse,Laughing,,,
What Domestic Activity Would You Be Surprised To Find Mrs. Claus Couldn’t Do?,Cook,Sew,Clean,Laundry,,,
Where In Your House Might You Find Something Labeled Poisonous?,Under Kitchen Sink,Garage,Medicine Cabinet,Laundry Room,,,
Name Something You Look Forward To Getting In The Mail.,Paycheck,Package,Birthday Cards,Letters,,,
Name Something From Your Ex That You Might Get Rid Of When Starting A New Relationship.,Pictures,Jewelry,Their Clothes,Letters,,,
"Other Than Matches, Name Something People Use To Start A Fire.",Lighter,Sticks,Flint,Lighter Fluid,,,
Name A Weather Condition That Might Cause You To Have Wacky Hair,Rain,Wind,Humidity,Lightning,,,
What Do You See In The Mall That Lets You Know Christmas Is Coming?,Santa Claus,Decorations,Pine Tree,Lights,,,
How Can You Tell That The Person Who Shares Your Room Is Having Trouble Sleeping?,Tossing And Turning,Talking,Watching TV,Lights On,,,
Name A Game In Which Small Children Have An Advantage Over Adults,Hide And Seek,Tag,Twister,Limbo,,,
Name A Phrase That’s Said In Commercials To Get You To Buy The Product Right Away.,Free Gift,Call Now,On Sale,Limited Time Offer,,,
What Would Santa Hate To Forget On Christmas Eve?,Presents,Reindeer,Sleigh,List,,,
Name A Crime That Most Cops Have Probably Committed Themselves.,Speeding,Stealing,Jaywalking,Littering,,,
What Might A Poker Player Do To Make Bluffing Easier?,Wear Sunglasses,Kepp A Straight Face,Drink,Look Away,,,
What Might Authorities Ask To See When You’re Crossing An International Border?,Passport,ID/License,Birth Certificate,Luggage,,,
"If You Met The Real Life Prince Charming, How Would You Know It Was Him?",Wears A Crown,Rides White Horse,Good Looking,Magical Kiss,,,
Name An Occupation In Which You’d Need To Wear Comfortable Shoes.,Doctor/Nurse,Food Service,Teacher,Mail Carrier,,,
Name A Part Of Your Morning Ritual That It’s Hard To Get The Energy To Do.,Shower,Get Out Of Bed,Exercise,Make Breakfast,,,
Name A Food That You Might Need Help Removing The Lid From,Pickles,Jelly,Peanut Butter,Mayonnaise,,,
Name The Electronic Device That You Use Most In A Day,Cell Phone,Computer,TV,Microwave,,,
Name Something In Your House That Has Numbers On It.,Phone,Clock,TV/Remote,Microwave,,,
Name Something Many People Probably Lie About In Their Personal Ads,Age,Weight,Appearance,Money,,,
Name A Type Of Candy That Sounds Like Something You’d Dig Up From The Ground,Gummy Worms,Rock Candy,Pop Rocks,Mounds,,,
